"samples","zscore","NegOneValue_zscore","changepoints","sample_groups"
"MMRF_1715_1_BM",-0.137048373226036,0.137048373226036,"4","0"
"MMRF_1637_1_BM",-0.0261855693899864,0.0261855693899864,"4","0"
"MMRF_1678_1_BM",-0.023851560595649,0.023851560595649,"4","0"
"MMRF_1671_1_BM",-0.0175991661254386,0.0175991661254386,"4","0"
"MMRF_1886_1_BM",-0.0125482068369909,0.0125482068369909,"4","0"
"MMRF_1777_1_BM",0.0146887261020503,-0.0146887261020503,"4","0"
"MMRF_1718_1_BM",0.0223646802041643,-0.0223646802041643,"4","0"
"MMRF_1293_1_BM",0.0237206751195218,-0.0237206751195218,"4","0"
"MMRF_1865_1_BM",0.0243196645724373,-0.0243196645724373,"4","0"
"MMRF_1775_1_BM",0.0307427926519782,-0.0307427926519782,"4","0"
"MMRF_1714_1_BM",0.0536167682508936,-0.0536167682508936,"4","0"
"MMRF_1677_1_BM",0.0613848662462931,-0.0613848662462931,"4","0"
"MMRF_1682_1_BM",0.0800749203680864,-0.0800749203680864,"4","0"
"MMRF_1627_1_BM",0.110273943158438,-0.110273943158438,"4","0"
"MMRF_1665_1_BM",0.114713646394247,-0.114713646394247,"4","0"
"MMRF_1846_1_BM",0.11583360674225,-0.11583360674225,"4","0"
"MMRF_1893_1_BM",0.120418007189745,-0.120418007189745,"4","0"
"MMRF_1713_1_BM",0.142012466501958,-0.142012466501958,"4","0"
"MMRF_1659_1_BM",0.185266482495279,-0.185266482495279,"4","0"
"MMRF_1719_1_BM",0.186947457220336,-0.186947457220336,"4","0"
"MMRF_1792_1_BM",0.384264213370124,-0.384264213370124,"5","0"
"MMRF_1830_1_BM",0.422623226549593,-0.422623226549593,"5","0"
"MMRF_1710_1_BM",0.430511122510588,-0.430511122510588,"5","0"
"MMRF_1783_1_BM",0.521109006752769,-0.521109006752769,"5","0"
"MMRF_1597_1_BM",0.533532559271546,-0.533532559271546,"5","0"
"MMRF_1831_1_BM",0.554817669356266,-0.554817669356266,"5","0"
"MMRF_1625_1_BM",0.580604443969154,-0.580604443969154,"5","0"
"MMRF_1859_1_BM",0.589717656648354,-0.589717656648354,"5","0"
"MMRF_1845_1_BM",0.61155885007909,-0.61155885007909,"5","0"
"MMRF_1750_1_BM",0.626202559876521,-0.626202559876521,"5","0"
"MMRF_1832_1_BM",0.646088700089629,-0.646088700089629,"5","0"
"MMRF_1722_1_BM",0.683139558309586,-0.683139558309586,"5","0"
"MMRF_1768_1_BM",0.701422762215864,-0.701422762215864,"6","0"
"MMRF_1890_1_BM",0.710185727128985,-0.710185727128985,"6","0"
"MMRF_1654_1_BM",0.712095453915293,-0.712095453915293,"6","0"
"MMRF_1825_1_BM",0.712892613611481,-0.712892613611481,"6","0"
"MMRF_1644_1_BM",0.731169393606249,-0.731169393606249,"6","0"
"MMRF_1726_1_BM",0.750745496682571,-0.750745496682571,"6","0"
"MMRF_1614_1_BM",0.921597410427516,-0.921597410427516,"6","0"
"MMRF_1565_1_BM",0.969673805875749,-0.969673805875749,"6","0"
"MMRF_1694_1_BM",1.01772406023241,-1.01772406023241,"6","0"
"MMRF_1786_1_BM",1.01817541902642,-1.01817541902642,"6","0"
"MMRF_1652_1_BM",1.10374402714892,-1.10374402714892,"6","0"
"MMRF_1810_1_BM",1.12322528264266,-1.12322528264266,"6","0"
"MMRF_1617_1_BM",1.22013382527107,-1.22013382527107,"6","0"
"MMRF_1785_1_BM",1.227304761141,-1.227304761141,"6","0"
"MMRF_1668_1_BM",1.27846189836471,-1.27846189836471,"6","0"
"MMRF_1771_1_BM",1.28200505396492,-1.28200505396492,"6","0"
"MMRF_1670_1_BM",1.29411517619888,-1.29411517619888,"6","0"
"MMRF_1847_1_BM",1.3827761519082,-1.3827761519082,"6","0"
"MMRF_1739_1_BM",1.4930666745218,-1.4930666745218,"NA","0"
"MMRF_1778_1_BM",1.52698230059214,-1.52698230059214,"NA","0"
"MMRF_1634_1_BM",1.66449325052227,-1.66449325052227,"NA","0"
"MMRF_1744_1_BM",1.81941035977592,-1.81941035977592,"NA","0"
"MMRF_1700_1_BM",1.9555204283079,-1.9555204283079,"NA","0"
"MMRF_1721_1_BM",1.98009266359944,-1.98009266359944,"NA","0"
"MMRF_1651_1_BM",2.19792392631394,-2.19792392631394,"NA","0"
"MMRF_1664_1_BM",2.4357450735278,-2.4357450735278,"NA","0"
"MMRF_1822_1_BM",2.61192342723352,-2.61192342723352,"NA","0"
"MMRF_1630_1_BM",2.8304964453156,-2.8304964453156,"NA","0"
"MMRF_1683_1_BM",2.86751359452077,-2.86751359452077,"NA","0"
"MMRF_1823_1_BM",2.90067394303135,-2.90067394303135,"NA","0"
"MMRF_1584_1_BM",2.92775676224217,-2.92775676224217,"NA","0"
"MMRF_1613_1_BM",3.37847532762051,-3.37847532762051,"NA","0"
