"samples","zscore"
"MMRF_1024_1_BM","-1.2934198087292"
"MMRF_1184_1_BM","-0.574168456463967"
"MMRF_1293_1_BM","0.0237206751195218"
"MMRF_1423_1_BM","-0.184499176095945"
"MMRF_1512_1_BM","-0.474315699575971"
"MMRF_1520_1_BM","-1.55127671958796"
"MMRF_1523_1_BM","-0.815885620303684"
"MMRF_1543_1_BM","-2.67165067401397"
"MMRF_1565_1_BM","0.969673805875749"
"MMRF_1584_1_BM","2.92775676224217"
"MMRF_1597_1_BM","0.533532559271546"
"MMRF_1598_1_BM","-0.141959970716085"
"MMRF_1613_1_BM","3.37847532762051"
"MMRF_1614_1_BM","0.921597410427516"
"MMRF_1617_1_BM","1.22013382527107"
"MMRF_1618_1_BM","-0.358285909997487"
"MMRF_1621_1_BM","-0.194924966902195"
"MMRF_1624_1_BM","-1.25951725136803"
"MMRF_1625_1_BM","0.580604443969154"
"MMRF_1627_1_BM","0.110273943158438"
"MMRF_1630_1_BM","2.8304964453156"
"MMRF_1633_1_BM","-0.341475503271712"
"MMRF_1634_1_BM","1.66449325052227"
"MMRF_1637_1_BM","-0.0261855693899864"
"MMRF_1639_1_BM","-0.698960617422103"
"MMRF_1640_1_BM","-1.15127335347671"
"MMRF_1641_1_BM","-0.948756789251688"
"MMRF_1643_1_BM","-1.32734740720479"
"MMRF_1644_1_BM","0.731169393606249"
"MMRF_1645_1_BM","-0.237876388122739"
"MMRF_1648_1_BM","-1.99391938330232"
"MMRF_1651_1_BM","2.19792392631394"
"MMRF_1652_1_BM","1.10374402714892"
"MMRF_1654_1_BM","0.712095453915293"
"MMRF_1656_1_BM","-0.408609436500425"
"MMRF_1659_1_BM","0.185266482495279"
"MMRF_1664_1_BM","2.4357450735278"
"MMRF_1665_1_BM","0.114713646394247"
"MMRF_1668_1_BM","1.27846189836471"
"MMRF_1670_1_BM","1.29411517619888"
"MMRF_1671_1_BM","-0.0175991661254386"
"MMRF_1672_1_BM","-1.74782059901858"
"MMRF_1677_1_BM","0.0613848662462931"
"MMRF_1678_1_BM","-0.023851560595649"
"MMRF_1682_1_BM","0.0800749203680864"
"MMRF_1683_1_BM","2.86751359452077"
"MMRF_1689_1_BM","-0.735368095132721"
"MMRF_1694_1_BM","1.01772406023241"
"MMRF_1695_1_BM","-0.223643921040189"
"MMRF_1700_1_BM","1.9555204283079"
"MMRF_1705_1_BM","-0.567776566535358"
"MMRF_1710_1_BM","0.430511122510588"
"MMRF_1711_1_BM","-0.151331133378543"
"MMRF_1713_1_BM","0.142012466501958"
"MMRF_1714_1_BM","0.0536167682508936"
"MMRF_1715_1_BM","-0.137048373226036"
"MMRF_1716_1_BM","-2.11771836817167"
"MMRF_1718_1_BM","0.0223646802041643"
"MMRF_1719_1_BM","0.186947457220336"
"MMRF_1720_1_BM","-0.223322633284789"
"MMRF_1721_1_BM","1.98009266359944"
"MMRF_1722_1_BM","0.683139558309586"
"MMRF_1726_1_BM","0.750745496682571"
"MMRF_1730_1_BM","-1.25573924455583"
"MMRF_1733_1_BM","-1.08877906569413"
"MMRF_1735_1_BM","-0.784785498511194"
"MMRF_1736_1_BM","-1.27979523428955"
"MMRF_1739_1_BM","1.4930666745218"
"MMRF_1744_1_BM","1.81941035977592"
"MMRF_1750_1_BM","0.626202559876521"
"MMRF_1758_1_BM","-3.83884181306662"
"MMRF_1759_1_BM","-1.28045736269041"
"MMRF_1766_1_BM","-0.382890475508934"
"MMRF_1768_1_BM","0.701422762215864"
"MMRF_1771_1_BM","1.28200505396492"
"MMRF_1773_1_BM","-1.85707002938106"
"MMRF_1775_1_BM","0.0307427926519782"
"MMRF_1777_1_BM","0.0146887261020503"
